789dbc0cf5dddd9436da08fb5fc3b5bf	0.0.0	2024-02-09 10:06:06.269458
216dbba2c35c5b3afbd3a8a03a8b1f1b	0.0.1	2024-02-09 10:28:39.034196
58c1190141f813582b1519c47f40e2a5	0.0.2	2024-02-09 10:29:52.693512
93219c1dcd636f97f8db694167319184	0.0.3	2024-02-09 10:30:52.292209
1692c53f0941bdb1102910d7836c9cd8	0.0.4	2024-02-09 10:31:20.848002
25aca9c2aec099547822e48045a3fb44	0.0.5	2024-02-09 10:31:58.209757
d2a7d3a348578ce31be0185d1ad3e006	0.0.6	2024-02-09 10:33:25.735844
e185fcb3f529cec26d442d2fcb55d76b	0.0.7	2024-02-09 10:34:53.052601
86e91e1d5cab2f8caee86357e201dbe3	0.0.8	2024-02-09 10:35:45.959205
09d2e179876feb4bf74e4aac6c6757b6	0.0.9	2024-02-09 14:50:54.574740
379caee92657d44d4ec9676987a368d8	0.0.10	2024-02-09 14:51:45.127987
316d7803339e9280e3baccc8eb26f559	0.0.11	2024-02-09 14:53:12.055756	testing comment entry on version
57477e7f3454e2f3733446fd0ae183c8	0.0.12	2024-02-09 17:13:33.149354	library update
0739fded23c5bb5563762343e7dd61cd	0.0.13	2024-02-09 21:43:35.622264	a define before the block unit allows to compile or not the driver
6d38e5fe6b9aafe5a396976000f7d74f	0.0.14	2024-02-09 21:45:22.338787	make the header file prettier
47856b078ef186ff9c53d764ea16b0d6	0.0.15	2024-02-09 21:46:40.376927	make a prettier file
51e6e6b3da4d61e19134bde4607a27c9	0.0.16	2024-02-09 21:48:50.536996	generate prettier code
2dc71b15ae511e9b63c8010253eb3cc4	0.0.17	2024-02-09 21:52:24.707182	fix definition misake
4725c43866ce2c7f6431df5c65402c5a	0.0.18	2024-02-09 21:54:02.349709	fix: wrong struct cdev / mdev
1068e99fb770b7d7f9bc93cc5710d1df	0.0.19	2024-02-09 22:03:02.120362	wrong struct
59bf6f4918febbfc0ca0ae050025449a	0.0.20	2024-02-09 22:54:12.404435	
2ae080d1120c3effce463fb35da30da5	0.0.21	2024-02-14 10:10:08.792389	leaving cdev framework for a simple straight to module request
738065837952141a6e702bb3d95badf5	0.0.22	2024-02-14 10:12:09.833876	getting rid of mdev registration
830c606fb1732e1c03e8fc4f235cce35	0.0.23	2024-02-14 10:12:45.159079	we might need some function from mdev yet
ee052579db733b68b7bdb2cccf47d311	0.0.24	2024-02-14 10:13:41.377176	
05eedd56e2d7ea49656b41c08362083f	0.0.25	2024-02-14 10:14:29.865993	
aedbc3a8eba02070a263a3090eef6b19	0.0.26	2024-02-14 13:00:11.922126	
be0fb5a51813ca6c23919ef71b6e5e29	0.0.27	2024-02-14 13:00:26.833519	
bab4acc78eae699c3403d3d8c4b606ce	0.0.28	2024-02-14 13:03:48.331634	
e119657584d5ea91d852ea5c6d03acdc	0.0.29	2024-02-14 13:03:56.303156	
a49eae71adb206315fae7b6c4f44c4f0	0.0.30	2024-02-14 13:56:15.426297	
b2530f811e4af324c2547a96aab4dc18	0.0.31	2024-02-14 13:56:54.460714	
bbb50dcd5cb1c838f9e84e14db61353d	0.0.32	2024-02-14 13:57:31.410329	
721502c77b56acb6227a3ed06a58865a	0.0.33	2024-02-14 13:58:52.610845	
054baea7c6f0daf302f48994262f4922	0.0.34	2024-02-14 14:01:08.659352	
671cdc838acfcd699fe4527465c465f9	0.0.35	2024-02-14 14:01:23.382289	
ca4d0c3c09a1573d6071714e7d49ab3d	0.0.36	2024-02-14 14:02:20.735971	
a7e4c60aba8e3a80db3988219e912482	0.0.37	2024-02-14 14:02:37.469272	
91b5db1e78f077c9de585463f94b4db0	0.0.38	2024-02-14 14:03:06.199679	
d15780f2e2b6c0b699b6d6e90b06f331	0.0.39	2024-02-14 14:03:21.835064	
e0402dfe6ff393bd302f547c12dd5778	0.0.40	2024-02-14 14:05:44.727797	
652e887769442415109bc7e1a2a4f87a	0.0.41	2024-02-14 14:05:56.448035	
56078b5129e309d7152213713f530dca	0.0.42	2024-02-14 14:07:04.901001	
c9714c925fc9031342931ea6142e6195	0.0.43	2024-02-14 14:07:16.589856	
8f02ec25579e8e3a9330613e89d4e72e	0.0.44	2024-02-14 14:11:13.211854	
fcb8405f01a1a80cda2c26b84277f91e	0.0.45	2024-02-14 14:11:22.957022	
a7f93ead02415771486dc6003c210d3f	0.0.46	2024-02-14 14:11:31.708635	
a486f7284e638a03b46d0424c80cd9ea	0.0.47	2024-02-14 14:11:52.413848	
b5c357e535075baf5d98d50074d9825e	0.0.48	2024-02-14 14:12:12.211369	
44442fe0c24502f79cc0b77681a88348	0.0.49	2024-02-14 14:12:31.124607	
c41bc2cd625a3ce4b976816429a857f6	0.0.50	2024-02-14 14:13:15.502337	
fe09fcc189d8b9defa74af90faa6c0fb	0.0.51	2024-02-14 14:15:21.651225	
78b2e03ea9dac5852109d95abbf5418a	0.0.52	2024-02-14 14:16:58.883822	
919a2bfbb23bce350ccdaf81465f1467	0.0.53	2024-02-14 14:17:22.717664	
27062fdaa6cbedd688a9367079bd1896	0.0.54	2024-02-14 14:19:02.806764	
2ce75c1dedb8c35164b96e59a06777ce	0.0.55	2024-02-14 14:19:34.790123	
ffc1156dfa53d514ddfe947e34280d73	0.0.56	2024-02-14 14:19:43.853225	
326c8b3362e85f09e9385148e224fd6a	0.0.57	2024-02-14 14:20:09.288144	
1e5424f51f800c105982f0998be4f415	0.0.58	2024-02-14 14:20:14.783565	
04fe737f92dc77563cc800b1e5a3eda8	0.0.59	2024-02-14 14:20:22.972375	
09ee427408f83ebe4aaedb02980ca994	0.0.60	2024-02-14 14:21:07.433986	
beae36ba1a524185c25cdd09b6720510	0.0.61	2024-02-14 14:22:00.006796	
1c0f16bdb78532f3fc099f47bb919f30	0.0.62	2024-02-14 14:22:30.687364	
65f96331eeb6c03632bb423519b8e51b	0.0.63	2024-02-14 14:22:46.728634	
1fa14b4b478d4ba793e1f0aee2edef3c	0.0.64	2024-02-14 14:23:34.023509	
556e4108f2bfb8bac717438feee56a9d	0.0.65	2024-02-14 14:23:45.276520	
3e7bb47ab84d5f2bb34ee6ebf8d6e34c	0.0.66	2024-02-14 14:24:03.891461	
b6cf562601cb9710bbccacee26931182	0.0.67	2024-02-14 14:24:18.934754	
e458eff1a7e1143b38fd208bd6f85f48	0.0.68	2024-02-14 14:24:25.750695	
63de381f5406e184aaa1f643ec129a8b	0.0.69	2024-02-14 14:24:59.148886	
